Year,Concept,Mean Cosine Similarity,Semantic Breadth
1979,偏见,0.7152693,1.398074769912705
1979,欺凌,0.7137697,1.4010121696177424
1979,精神病,0.6354653,1.5736499889929398
1979,创伤,0.69735825,1.4339831773895637
1979,分裂,0.73331374,1.3636727997962768
1979,阴谋,0.6803668,1.469795379818989
1979,主权,0.77987653,1.282254256044161
1979,恐怖主义,0.67053777,1.4913403018394087
1980,偏见,0.71316576,1.4021985575184022
1980,欺凌,0.69375783,1.4414251685557367
1980,精神病,0.59517413,1.6801805442264754
1980,创伤,0.7087918,1.4108515515172828
1980,分裂,0.71447337,1.3996322977950715
1980,阴谋,0.67666006,1.4778469394154858
1980,主权,0.7473906,1.3379884129159159
1980,恐怖主义,0.68848723,1.4524597609242362
1981,偏见,0.66972154,1.4931578792322542
1981,欺凌,0.71784586,1.393056726661909
1981,精神病,0.6541235,1.5287633341355054
1981,创伤,0.699536,1.4295189432892077
1981,分裂,0.6927298,1.4435643474053734
1981,阴谋,0.69006515,1.449138543704046
1981,主权,0.77641165,1.2879765478742327
1981,恐怖主义,0.70587105,1.4166893602569244
1982,偏见,0.7355535,1.3595204099658524
1982,欺凌,0.7327218,1.3647744510874127
1982,精神病,0.66904485,1.4946681027839472
1982,创伤,0.7109371,1.4065942320905098
1982,分裂,0.6912235,1.4467100682722467
1982,阴谋,0.6857891,1.458174222850166
1982,主权,0.77254486,1.2944232117638925
1982,恐怖主义,0.71507794,1.39844896443841
1983,偏见,0.6778235,1.475310348029646
1983,欺凌,0.7242534,1.380732182718792
1983,精神病,0.65987027,1.5154493998890413
1983,创伤,0.7108851,1.4066970730227952
1983,分裂,0.6949789,1.4388926201290912
1983,阴谋,0.7024431,1.4236028049119902
1983,主权,0.75185716,1.3300398681789463
1983,恐怖主义,0.7258731,1.3776512485907113
1984,偏见,0.70579004,1.4168519520669878
1984,欺凌,0.6626881,1.5090055721047042
1984,精神病,0.64574987,1.5485872334808797
1984,创伤,0.6957713,1.4372539268686437
1984,分裂,0.6643012,1.5053412142080058
1984,阴谋,0.7089624,1.4105120764661399
1984,主权,0.7186773,1.3914451236767051
1984,恐怖主义,0.70697,1.4144872248416405
1985,偏见,0.7114189,1.4056415459964449
1985,欺凌,0.7066585,1.4151107284373623
1985,精神病,0.6397875,1.5630189830250145
1985,创伤,0.6808821,1.468683059002359
1985,分裂,0.6732987,1.485224871853753
1985,阴谋,0.66087556,1.5131441715522818
1985,主权,0.74433684,1.3434777664779507
1985,恐怖主义,0.72069097,1.387557285520662
1986,偏见,0.70199454,1.4245125074782334
1986,欺凌,0.70459074,1.4192636183303526
1986,精神病,0.5992976,1.6686201116012709
1986,创伤,0.6237683,1.6031593021220254
1986,分裂,0.69809043,1.4324791619955373
1986,阴谋,0.67875975,1.4732753298098238
1986,主权,0.73810166,1.3548269195967373
1986,恐怖主义,0.71845526,1.3918751279173769
1987,偏见,0.7004304,1.4276936147848505
1987,欺凌,0.6719512,1.4882033659556464
1987,精神病,0.6357628,1.572913645086923
1987,创伤,0.6404434,1.561418267362702
1987,分裂,0.6502555,1.5378570393429492
1987,阴谋,0.6730773,1.4857134861853094
1987,主权,0.75123066,1.3311490825726289
1987,恐怖主义,0.70702314,1.414380856997373
1988,偏见,0.7234229,1.3823173427550843
1988,欺凌,0.66757095,1.4979681217344814
1988,精神病,0.65905774,1.5173177474058877
1988,创伤,0.6355892,1.5733433288785386
1988,分裂,0.6671448,1.498925026302548
1988,阴谋,0.64703155,1.5455196995261709
1988,主权,0.7405967,1.3502625440930256
1988,恐怖主义,0.70742863,1.413570149274355
1989,偏见,0.6905803,1.448057507261988
1989,欺凌,0.69013846,1.4489846010770557
1989,精神病,0.64812416,1.5429142504050362
1989,创伤,0.63673025,1.5705237723426058
1989,分裂,0.70119125,1.4261444434423318
1989,阴谋,0.71551317,1.397598314406673
1989,主权,0.7244947,1.3802723553196692
1989,恐怖主义,0.7217899,1.385444718560649
1990,偏见,0.6890177,1.4513414982388535
1990,欺凌,0.7412225,1.3491225629540877
1990,精神病,0.62753886,1.5935268140179544
1990,创伤,0.69081974,1.4475556236600555
1990,分裂,0.6909596,1.4472626755269713
1990,阴谋,0.6553283,1.5259527782042503
1990,主权,0.7491778,1.3347966022755138
1990,恐怖主义,0.74513423,1.3420400698232613
1991,偏见,0.71697575,1.3947473147282405
1991,欺凌,0.7491131,1.3349119416627837
1991,精神病,0.6352217,1.57425347547379
1991,创伤,0.67217416,1.4877096828284937
1991,分裂,0.7125681,1.4033746304551544
1991,阴谋,0.6917269,1.4456571903824234
1991,主权,0.74417484,1.343770238992111
1991,恐怖主义,0.74037224,1.3506719258762208
1992,偏见,0.6934328,1.4421007898316227
1992,欺凌,0.68288267,1.4643804110546772
1992,精神病,0.6088497,1.6424414646077854
1992,创伤,0.6311887,1.5843122901181528
1992,分裂,0.68572193,1.4583170679659838
1992,阴谋,0.66904783,1.494661444877218
1992,主权,0.75007373,1.3332022689813987
1992,恐怖主义,0.7391462,1.3529123690660654
